,citizen_network_size,network_discount_factor,seed,Run,Active,Jailed,Quiescent,Seed,Speed of Rebellion Transmission,width,height,citizen_density,cop_density,citizen_vision,cop_vision,legitimacy,max_jail_term,active_threshold,arrest_prob_constant,movement,max_iters
114,20,0.33,5,114,0,19,1141,5,0.0017226528854435831,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
115,20,0.33,6,115,0,23,1078,6,0.0009057971014492754,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
116,20,0.33,7,116,0,18,1125,7,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
117,20,0.33,8,117,0,23,1131,8,0.0034602076124567475,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
118,20,0.33,9,118,0,23,1114,9,0.005249343832020997,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
119,20,0.33,10,119,0,23,1110,10,0.00176522506619594,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
120,20,0.5,1,120,0,13,1091,1,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
121,20,0.5,2,121,0,21,1109,2,0.0017683465959328027,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
122,20,0.5,3,122,0,347,770,3,0.014109347442680775,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
123,20,0.5,4,123,0,216,902,4,0.013192612137203167,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
124,20,0.5,5,124,0,19,1141,5,0.0008613264427217916,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
125,20,0.5,6,125,0,23,1078,6,0.0009057971014492754,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
126,20,0.5,7,126,0,18,1125,7,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
127,20,0.5,8,127,0,22,1132,8,0.0008650519031141869,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
128,20,0.5,9,128,0,23,1118,9,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
129,20,0.5,10,129,0,29,1102,10,0.00176522506619594,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
130,20,0.66,1,130,0,13,1091,1,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
131,20,0.66,2,131,0,21,1109,2,0.002652519893899204,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
132,20,0.66,3,132,1,129,999,3,0.004409171075837742,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
133,20,0.66,4,133,0,25,1110,4,0.0008795074758135445,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
134,20,0.66,5,134,0,19,1140,5,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
135,20,0.66,6,135,0,23,1078,6,0.0009057971014492754,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
136,20,0.66,7,136,0,18,1125,7,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
137,20,0.66,8,137,0,23,1131,8,0.0017301038062283738,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
138,20,0.66,9,138,0,27,1114,9,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
139,20,0.66,10,139,0,29,1102,10,0.00176522506619594,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
140,20,1.0,1,140,0,13,1091,1,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
141,20,1.0,2,141,1,20,1109,2,0.0017683465959328027,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
142,20,1.0,3,142,1,23,1108,3,0.004409171075837742,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
143,20,1.0,4,143,0,20,1116,4,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
144,20,1.0,5,144,0,21,1140,5,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
145,20,1.0,6,145,0,23,1078,6,0.0009057971014492754,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
146,20,1.0,7,146,1,16,1125,7,0.0017497812773403325,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
147,20,1.0,8,147,0,20,1133,8,0.0025951557093425604,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
148,20,1.0,9,148,0,22,1120,9,0.0026246719160104987,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
149,20,1.0,10,149,0,23,1110,10,0.00088261253309797,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
150,30,0.0,1,150,0,14,1091,1,0.0009041591320072332,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
151,30,0.0,2,151,0,21,1109,2,0.002652519893899204,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
152,30,0.0,3,152,0,200,915,3,0.015873015873015872,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
153,30,0.0,4,153,0,80,1042,4,0.010554089709762533,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
154,30,0.0,5,154,0,19,1141,5,0.0008613264427217916,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
155,30,0.0,6,155,0,25,1078,6,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
156,30,0.0,7,156,0,18,1125,7,0.0008748906386701663,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
157,30,0.0,8,157,0,23,1132,8,0.0008650519031141869,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
158,30,0.0,9,158,1,37,1100,9,0.017497812773403325,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
159,30,0.0,10,159,0,21,1110,10,0.00088261253309797,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
160,30,0.33,1,160,0,14,1091,1,0.0009041591320072332,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
161,30,0.33,2,161,0,20,1109,2,0.0008841732979664014,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
162,30,0.33,3,162,0,267,846,3,0.021164021164021163,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
